index,メーカー,モデル名,url,本体価格,支払価格,走行距離,登録済未使用車,禁煙車,車検,年式（初度登録）,排気量,乗車定員,駆動方式,燃料,ドア,ミッション,過給器,車体色,車台番号下3桁,その他仕様,全体のサイズ,荷台寸法,全長×全幅×全高,車両重量,駆動形式,使用燃料,最高出力,WLTCモード燃費,JC08モード燃費,10/15モード燃費,保証,法定整備,外装,内装,修復歴
2919,ホンダ,Ｎ−ＢＯＸ,https://www.goo-net.com/usedcar/spread/goo/13/700250571230220916001.html,140万円,--万円,1.7万km,0,0,なし,2019,660,4,2WD,ガソリン,5D,CVT,0,ブリリアントスポーティブルーメタリック,948,−,−,−,3395x1475x1790mm,890,FF,無鉛レギュラーガソリン,58ps(43kW)/7300rpm,−,27.0km/リットル,−,0,0,5,5,無し
2920,スズキ,ワゴンＲ,https://www.goo-net.com/usedcar/spread/goo/12/700040033330220911001.html,69.3万円,78.6万円,5.0万km,0,0,車検整備付,2013,660,4,2WD,ガソリン,5D,CVT,0,ミステリアスバイオレットパール,853,−,−,−,3395x1475x1660mm,790,FF,無鉛レギュラーガソリン,52ps(38kW)/6000rpm,−,30.0km/リットル,−,1,1,4,4,無し
2921,スズキ,ワゴンＲ,https://www.goo-net.com/usedcar/spread/goo/10/700030201530220909003.html,49万円,59万円,5.1万km,0,0,車検整備付,2013,660,4,4WD,ガソリン,5D,CVT,0,ライトブルー,907,−,−,−,3395x1475x1640mm,830,フルタイム４WD,無鉛レギュラーガソリン,52ps(38kW)/6000rpm,−,27.8km/リットル,−,1,1,4,4,有 軽度
2922,三菱,ｅＫカスタム,https://www.goo-net.com/usedcar/spread/goo/15/700020059130200709001.html,69.5万円,--万円,3.7万km,0,0,なし,2015,660,4,2WD,ガソリン,5D,CVT,0,ホワイトパール,307,−,−,−,3395x1475x1620mm,830,FF,無鉛レギュラーガソリン,49ps(36kW)/6500rpm,−,26.8km/リットル,−,1,0,4,4,有 軽度
2923,スズキ,セルボ,https://www.goo-net.com/usedcar/spread/goo/17/700101021330220726002.html,33万円,--万円,6.8万km,0,0,2023年8月,2008,660,4,2WD,ガソリン,5D,4AT,0,パールホワイト,123,−,−,−,3395x1475x1535mm,790,FF,無鉛レギュラーガソリン,54ps(40kW)/6500rpm,−,−,21.5km/リットル,1,1,4,4,無し
2924,ダイハツ,ミラココア,https://www.goo-net.com/usedcar/spread/goo/11/700090364430220531002.html,70.5万円,79万円,8.7万km,0,0,車検整備付,2013,660,4,4WD,ガソリン,5D,CVT,0,ムースピンクパール,8,寒冷地仕様,−,−,3395x1475x1530mm,850,フルタイム４WD,無鉛レギュラーガソリン,52ps(38kW)/6800rpm,−,25.6km/リットル,27.0km/リットル,1,1,4,4,無し
2925,スズキ,ハスラー,https://www.goo-net.com/usedcar/spread/goo/10/700030298430200904001.html,148.8万円,--万円,3.5万km,0,0,なし,2018,660,4,4WD,ハイブリッド,5D,CVT,0,アーバンブラウンパールメタリックシルバーツートンルーフ,668,−,−,−,3395x1475x1665mm,850,フルタイム４WD,無鉛レギュラーガソリン,52ps(38kW)/6500rpm,−,30.4km/リットル,−,1,0,4,5,無し
2926,ホンダ,Ｎ−ＷＧＮ,https://www.goo-net.com/usedcar/spread/goo/12/700040076530211228001.html,89.8万円,98万円,5.1万km,0,0,車検整備付,2015,660,4,4WD,ガソリン,5D,CVT,0,プレミアムホワイトパール,392,−,−,−,3395x1475x1675mm,870,フルタイム４WD,無鉛レギュラーガソリン,58ps(43kW)/7300rpm,−,26.0km/リットル,−,1,1,4,4,無し
2927,マツダ,ＡＺワゴン,https://www.goo-net.com/usedcar/spread/goo/14/700903014530220730001.html,39万円,49万円,4.5万km,0,0,2023年1月,2010,660,4,4WD,ガソリン,5D,4AT,0,ライトブルー,674,−,339,−,3395x1475x1660mm,850,フルタイム４WD,無鉛レギュラーガソリン,54ps(40kW)/6500rpm,−,−,21.5km/リットル,0,1,4,4,有 軽度
2928,ダイハツ,タント,https://www.goo-net.com/usedcar/spread/goo/10/700030013730220901001.html,108万円,--万円,6.0万km,0,0,車検整備付,2017,660,4,4WD,ガソリン,5D,CVT,0,シルバーＭ,622,寒冷地仕様,−,−,3395x1475x1750mm,980,フルタイム４WD,無鉛レギュラーガソリン,52ps(38kW)/6800rpm,−,25.8km/リットル,−,1,1,4,4,有 軽度
